structure,tau,K,seed,shock_every,initial_fitness,final_fitness,bank
H,0.5,2,10,40,0.4581578818563765,0.6110260717855819,A
H,0.5,5,1,40,0.5084001137561419,0.6355266311170533,A
H,0.5,5,2,40,0.4976198824304295,0.6896993999675045,A
H,0.5,5,3,40,0.4429987919015225,0.6828367892416153,A
H,0.5,5,4,40,0.4337098513543653,0.7347585837143069,A
H,0.5,5,5,40,0.4748448971619001,0.7428832216927832,A
H,0.5,5,6,40,0.5370229875227431,0.7151499412837556,A
H,0.5,5,7,40,0.3425627632536259,0.8065682642412153,A
H,0.5,5,8,40,0.46921130979852665,0.7197495642166702,A
H,0.5,5,9,40,0.4371594642615279,0.6420021129262213,A
H,0.5,5,10,40,0.4579917529314979,0.5360801377348214,A
H,0.5,10,1,40,0.5645027884900312,0.7241923287137649,A
H,0.5,10,2,40,0.4245719592001588,0.5829411700489565,A
H,0.5,10,3,40,0.5635205766088618,0.636231876926107,A
H,0.5,10,4,40,0.4298913279871115,0.7222603919732469,A
H,0.5,10,5,40,0.4540056147042763,0.7181377938087171,A
H,0.5,10,6,40,0.41776922558243546,0.6095119508754286,A
H,0.5,10,7,40,0.5430078793202251,0.6373677039532659,A
H,0.5,10,8,40,0.5449223223698254,0.7514389400346059,A
H,0.5,10,9,40,0.4446551607316305,0.7433893009208138,A
H,0.5,10,10,40,0.49691254325549206,0.602076114902843,A
H,0.8,2,1,40,0.5497162550391408,0.5749738734100102,A
H,0.8,2,2,40,0.45540888009492225,0.7223396830726148,A
H,0.8,2,3,40,0.4156227082097457,0.6797878657833691,A
H,0.8,2,4,40,0.45470265540844645,0.7783584844175154,A
H,0.8,2,5,40,0.3843306412736061,0.6449929171039002,A
H,0.8,2,6,40,0.5854039033343023,0.663290745934564,A
H,0.8,2,7,40,0.5645427508936883,0.6068098601207378,A
H,0.8,2,8,40,0.4206179228334261,0.62502346026439,A
H,0.8,2,9,40,0.47677313337817073,0.7251533163761447,A
