structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T
V,0.2,10,38,0.45740452759787736,0.7538027259949465,0.7538027259949465,0.2963981983970691,2,15,30,40
V,0.2,10,39,0.523778068039527,0.6171444652871944,0.6171444652871944,0.09336639724766738,1,15,30,40
V,0.2,10,40,0.5622419771043637,0.726283237377095,0.726283237377095,0.16404126027273125,2,15,30,40
V,0.3,2,1,0.6047877979841517,0.6606505589980328,0.6606505589980328,0.0558627610138811,2,15,30,40
V,0.3,2,2,0.5545265234677946,0.6885041221401585,0.6885041221401585,0.13397759867236392,5,15,30,40
V,0.3,2,3,0.6545990428811221,0.7048733457597424,0.7048733457597424,0.050274302878620225,2,15,30,40
V,0.3,2,4,0.5798966853121141,0.6864735933652067,0.6864735933652067,0.10657690805309261,2,15,30,40
V,0.3,2,5,0.5368213807908561,0.6743716966490414,0.6743716966490414,0.13755031585818533,4,15,30,40
V,0.3,2,6,0.4728597246838299,0.7844624753422667,0.7844624753422667,0.31160275065843673,5,15,30,40
V,0.3,2,7,0.5685811539905348,0.6914815192084615,0.6914815192084615,0.12290036521792669,5,15,30,40
V,0.3,2,8,0.5031189851822413,0.741210917679924,0.741210917679924,0.23809193249768268,8,15,30,40
V,0.3,2,9,0.44502775518807247,0.7106767086333197,0.7106767086333197,0.2656489534452472,6,15,30,40
V,0.3,2,10,0.5191384510741484,0.6760109352117404,0.6760109352117404,0.15687248413759203,6,15,30,40
V,0.3,2,11,0.4565406627856302,0.7570930983664377,0.7570930983664377,0.30055243558080746,6,15,30,40
V,0.3,2,12,0.4327671864896075,0.6977143635137921,0.6977143635137921,0.26494717702418463,4,15,30,40
V,0.3,2,13,0.5317667960948858,0.7402293542930714,0.7402293542930714,0.2084625581981856,4,15,30,40
V,0.3,2,14,0.49969140429654924,0.6734095163845466,0.6734095163845466,0.17371811208799737,5,15,30,40
