heterogeneity,structure,tau,K,seed,shock_every,final_fitness
skewed,Hy,0.5,5,19,10,0.7798783380684225
skewed,Hy,0.5,5,19,3,0.6779028935475383
skewed,Hy,0.5,5,20,100,0.7169472556795286
skewed,Hy,0.5,5,20,10,0.6957650690280139
skewed,Hy,0.5,5,20,3,0.6980799309823735
extreme,V,0.5,5,1,100,0.6618934875613159
extreme,V,0.5,5,1,10,0.6799992105855124
extreme,V,0.5,5,1,3,0.7524230985041438
extreme,V,0.5,5,2,100,0.6539921406990575
extreme,V,0.5,5,2,10,0.7972987891466292
extreme,V,0.5,5,2,3,0.6882801243308708
extreme,V,0.5,5,3,100,0.7961038337897011
extreme,V,0.5,5,3,10,0.6961140837744476
extreme,V,0.5,5,3,3,0.6502318107968162
extreme,V,0.5,5,4,100,0.7373920340986305
extreme,V,0.5,5,4,10,0.6713868284702705
extreme,V,0.5,5,4,3,0.7011856744801672
extreme,V,0.5,5,5,100,0.6919974806868596
extreme,V,0.5,5,5,10,0.6969045085960798
extreme,V,0.5,5,5,3,0.5811907875834254
extreme,V,0.5,5,6,100,0.6416054795264944
extreme,V,0.5,5,6,10,0.6786875603210203
extreme,V,0.5,5,6,3,0.7303727251210965
extreme,V,0.5,5,7,100,0.685809645780907
extreme,V,0.5,5,7,10,0.7302014634339841
extreme,V,0.5,5,7,3,0.6773481242314524
extreme,V,0.5,5,8,100,0.6969553332494588
extreme,V,0.5,5,8,10,0.6701752398457153
extreme,V,0.5,5,8,3,0.6945476775657482
extreme,V,0.5,5,9,100,0.7018577836672363
extreme,V,0.5,5,9,10,0.7057975987630124
extreme,V,0.5,5,9,3,0.73794423168898
extreme,V,0.5,5,10,100,0.5928187893121
extreme,V,0.5,5,10,10,0.7453343259415879
extreme,V,0.5,5,10,3,0.7090818397139322
extreme,V,0.5,5,11,100,0.730906066831478
extreme,V,0.5,5,11,10,0.7020323674344657
extreme,V,0.5,5,11,3,0.6409083056208733
extreme,V,0.5,5,12,100,0.8017331575342647
extreme,V,0.5,5,12,10,0.6546029498433247
extreme,V,0.5,5,12,3,0.7091482207040571
extreme,V,0.5,5,13,100,0.6516783314842619
extreme,V,0.5,5,13,10,0.6046875929135819
extreme,V,0.5,5,13,3,0.7576857727122649
extreme,V,0.5,5,14,100,0.8057805752150661
extreme,V,0.5,5,14,10,0.6728489874653925
extreme,V,0.5,5,14,3,0.7120454957453186
extreme,V,0.5,5,15,100,0.6445038150529536
extreme,V,0.5,5,15,10,0.6818585201152962
extreme,V,0.5,5,15,3,0.7755445285952863
extreme,V,0.5,5,16,100,0.6520949513281866
extreme,V,0.5,5,16,10,0.7543202355161195
extreme,V,0.5,5,16,3,0.7127276826774516
extreme,V,0.5,5,17,100,0.6703928385282237
extreme,V,0.5,5,17,10,0.7206075225167994
extreme,V,0.5,5,17,3,0.6501477888157287
extreme,V,0.5,5,18,100,0.7745718038010946
extreme,V,0.5,5,18,10,0.7040770871608316
extreme,V,0.5,5,18,3,0.6227375676808574
extreme,V,0.5,5,19,100,0.8034423655354307
extreme,V,0.5,5,19,10,0.7547996062618263
extreme,V,0.5,5,19,3,0.7568236560687038
extreme,V,0.5,5,20,100,0.7494652105134428
extreme,V,0.5,5,20,10,0.7962159147874731
extreme,V,0.5,5,20,3,0.7224071795132453
extreme,H,0.5,5,1,100,0.7337908261092554
extreme,H,0.5,5,1,10,0.6026076188786301
extreme,H,0.5,5,1,3,0.48598866991501005
extreme,H,0.5,5,2,100,0.723509803250431
extreme,H,0.5,5,2,10,0.6230009828489312
extreme,H,0.5,5,2,3,0.5398594538487727
extreme,H,0.5,5,3,100,0.7353594586706922
extreme,H,0.5,5,3,10,0.4808760021939852
extreme,H,0.5,5,3,3,0.5333154856359839
extreme,H,0.5,5,4,100,0.7513792907055925
extreme,H,0.5,5,4,10,0.6302643441272417
extreme,H,0.5,5,4,3,0.6166777663498768
extreme,H,0.5,5,5,100,0.666661892849111
extreme,H,0.5,5,5,10,0.5047122869973827
extreme,H,0.5,5,5,3,0.5943534408892119
extreme,H,0.5,5,6,100,0.7644250386107916
extreme,H,0.5,5,6,10,0.7475159510072673
extreme,H,0.5,5,6,3,0.5045479454467527
extreme,H,0.5,5,7,100,0.7548910014280156
extreme,H,0.5,5,7,10,0.6686556388257964
extreme,H,0.5,5,7,3,0.6707021442292735
extreme,H,0.5,5,8,100,0.7700308533680101
extreme,H,0.5,5,8,10,0.6963068461922586
extreme,H,0.5,5,8,3,0.4916044056560397
extreme,H,0.5,5,9,100,0.7422460382261098
extreme,H,0.5,5,9,10,0.5222933675888471
extreme,H,0.5,5,9,3,0.5609311834434474
extreme,H,0.5,5,10,100,0.7532703184288388
extreme,H,0.5,5,10,10,0.4851746666673658
extreme,H,0.5,5,10,3,0.5340862466504778
extreme,H,0.5,5,11,100,0.7304482805599315
extreme,H,0.5,5,11,10,0.6103090244851231
extreme,H,0.5,5,11,3,0.47930590597136546
extreme,H,0.5,5,12,100,0.694240815881798
extreme,H,0.5,5,12,10,0.4947082911706081
extreme,H,0.5,5,12,3,0.6144783575605346
extreme,H,0.5,5,13,100,0.6971183194007953
extreme,H,0.5,5,13,10,0.5923495180461145
extreme,H,0.5,5,13,3,0.6292718562040064
extreme,H,0.5,5,14,100,0.8057805752150661
extreme,H,0.5,5,14,10,0.4588969244620176
extreme,H,0.5,5,14,3,0.5387170186995748
extreme,H,0.5,5,15,100,0.7418449106712971
extreme,H,0.5,5,15,10,0.6393063033276021
extreme,H,0.5,5,15,3,0.4810653803352508
extreme,H,0.5,5,16,100,0.7485588678510025
extreme,H,0.5,5,16,10,0.5420770969600023
extreme,H,0.5,5,16,3,0.5283387466188465
extreme,H,0.5,5,17,100,0.7529652593058057
extreme,H,0.5,5,17,10,0.551534315785246
extreme,H,0.5,5,17,3,0.5623435460295305
extreme,H,0.5,5,18,100,0.688679172924807
extreme,H,0.5,5,18,10,0.5453943908205742
extreme,H,0.5,5,18,3,0.5239037171917781
extreme,H,0.5,5,19,100,0.7516116756525556
extreme,H,0.5,5,19,10,0.6570940664440775
extreme,H,0.5,5,19,3,0.4675739474049211
extreme,H,0.5,5,20,100,0.7668748826567101
extreme,H,0.5,5,20,10,0.473419223600009
extreme,H,0.5,5,20,3,0.4630298325339781
extreme,Hy,0.5,5,1,100,0.7388743433505822
extreme,Hy,0.5,5,1,10,0.6256635720032371
extreme,Hy,0.5,5,1,3,0.6076957344781995
extreme,Hy,0.5,5,2,100,0.7298830666918456
extreme,Hy,0.5,5,2,10,0.6641411696526858
extreme,Hy,0.5,5,2,3,0.6220305198004152
extreme,Hy,0.5,5,3,100,0.7491279746812141
extreme,Hy,0.5,5,3,10,0.710274303003555
extreme,Hy,0.5,5,3,3,0.6385645959729662
extreme,Hy,0.5,5,4,100,0.7348715845440571
extreme,Hy,0.5,5,4,10,0.5443862261434504
extreme,Hy,0.5,5,4,3,0.7143956136004936
extreme,Hy,0.5,5,5,100,0.7500226794091805
extreme,Hy,0.5,5,5,10,0.7593557591126119
extreme,Hy,0.5,5,5,3,0.7899030343069864
extreme,Hy,0.5,5,6,100,0.6853420316926149
extreme,Hy,0.5,5,6,10,0.6113708891728469
extreme,Hy,0.5,5,6,3,0.7334396420017798
extreme,Hy,0.5,5,7,100,0.7388672890030864
extreme,Hy,0.5,5,7,10,0.6690145874451207
extreme,Hy,0.5,5,7,3,0.5490193722620773
extreme,Hy,0.5,5,8,100,0.7177899618300432
extreme,Hy,0.5,5,8,10,0.6853099962482528
extreme,Hy,0.5,5,8,3,0.638983840102028
extreme,Hy,0.5,5,9,100,0.6776479601769806
extreme,Hy,0.5,5,9,10,0.724869709379793
extreme,Hy,0.5,5,9,3,0.6916105274964547
extreme,Hy,0.5,5,10,100,0.7131720377087235
extreme,Hy,0.5,5,10,10,0.6527410987568641
extreme,Hy,0.5,5,10,3,0.5342090257491878
extreme,Hy,0.5,5,11,100,0.7385282506065728
extreme,Hy,0.5,5,11,10,0.5919198937650635
extreme,Hy,0.5,5,11,3,0.5343609541124403
extreme,Hy,0.5,5,12,100,0.7664076748109921
extreme,Hy,0.5,5,12,10,0.6374095986042724
extreme,Hy,0.5,5,12,3,0.6027450719200667
extreme,Hy,0.5,5,13,100,0.7102206383762967
extreme,Hy,0.5,5,13,10,0.6078002797214369
extreme,Hy,0.5,5,13,3,0.5737290048759828
extreme,Hy,0.5,5,14,100,0.730037518525174
extreme,Hy,0.5,5,14,10,0.714988741766682
extreme,Hy,0.5,5,14,3,0.7100503975779379
extreme,Hy,0.5,5,15,100,0.7695845021140791
extreme,Hy,0.5,5,15,10,0.5878419597815974
extreme,Hy,0.5,5,15,3,0.7784964424187961
extreme,Hy,0.5,5,16,100,0.7259929889355754
extreme,Hy,0.5,5,16,10,0.7054621886946467
extreme,Hy,0.5,5,16,3,0.6052794739787082
extreme,Hy,0.5,5,17,100,0.7652522888562273
extreme,Hy,0.5,5,17,10,0.677457203585705
extreme,Hy,0.5,5,17,3,0.7205443186731141
extreme,Hy,0.5,5,18,100,0.7174248922779544
extreme,Hy,0.5,5,18,10,0.6914001938975615
extreme,Hy,0.5,5,18,3,0.65895343597466
extreme,Hy,0.5,5,19,100,0.8034423655354307
extreme,Hy,0.5,5,19,10,0.6130918896296859
extreme,Hy,0.5,5,19,3,0.8116686558158112
extreme,Hy,0.5,5,20,100,0.7438725070926896
extreme,Hy,0.5,5,20,10,0.6983694387017654
extreme,Hy,0.5,5,20,3,0.5624553799797956
