structure,tau,K,seed,shock_every,reshuffle_frac,initial_fitness,final_fitness,improvement,N,n_agents,T
V,0.2,10,10,100,0.25,0.5624661163739619,0.6420831129119452,0.07961699653798326,15,30,40
V,0.2,10,11,100,0.25,0.5399990746259146,0.7269056384062907,0.18690656378037618,15,30,40
V,0.2,10,12,100,0.25,0.43001890901550044,0.6414829778931087,0.21146406887760827,15,30,40
V,0.2,10,13,100,0.25,0.43750111465459984,0.65565530010698,0.2181541854523802,15,30,40
V,0.2,10,14,100,0.25,0.4961922692690072,0.6281247589651202,0.131932489696113,15,30,40
V,0.2,10,15,100,0.25,0.38003952187326745,0.6256799689573486,0.24564044708408111,15,30,40
V,0.2,10,16,100,0.25,0.504660536440783,0.7007886515897568,0.19612811514897377,15,30,40
V,0.2,10,17,100,0.25,0.4635862049355079,0.6371761001686002,0.17358989523309226,15,30,40
V,0.2,10,18,100,0.25,0.3905004635050341,0.7409002147913896,0.3503997512863555,15,30,40
V,0.2,10,19,100,0.25,0.42639725445940346,0.7354690342299716,0.3090717797705681,15,30,40
V,0.2,10,20,100,0.25,0.39266915549798204,0.7040789901231052,0.3114098346251231,15,30,40
V,0.2,10,21,100,0.25,0.6119811110967249,0.7464582485127286,0.13447713741600364,15,30,40
V,0.2,10,22,100,0.25,0.5014712613588351,0.6724588648777785,0.17098760351894338,15,30,40
V,0.2,10,23,100,0.25,0.5611679468729605,0.71693336280734,0.15576541593437954,15,30,40
V,0.2,10,24,100,0.25,0.5585968023711394,0.6954982469255101,0.1369014445543707,15,30,40
V,0.2,10,25,100,0.25,0.4611901675650704,0.6702257866042921,0.2090356190392217,15,30,40
V,0.2,10,26,100,0.25,0.42735011892543073,0.6189905596602819,0.1916404407348512,15,30,40
V,0.2,10,27,100,0.25,0.44284586019880173,0.7144066064620479,0.27156074626324617,15,30,40
V,0.2,10,28,100,0.25,0.5034791489847987,0.6805021186857305,0.1770229697009318,15,30,40
V,0.2,10,29,100,0.25,0.5642669148442931,0.7348821339708497,0.17061521912655653,15,30,40
V,0.2,10,30,100,0.25,0.47122269431414215,0.7051390495019317,0.23391635518778958,15,30,40
V,0.5,2,1,100,0.25,0.5419661952039001,0.6852209255296754,0.1432547303257753,15,30,40
V,0.5,2,2,100,0.25,0.5207352710512675,0.6980559379361673,0.17732066688489978,15,30,40
V,0.5,2,3,100,0.25,0.5285703083241982,0.7455996289428888,0.21702932061869062,15,30,40
V,0.5,2,4,100,0.25,0.6530710411934121,0.7561470521747163,0.10307601098130426,15,30,40
V,0.5,2,5,100,0.25,0.5077797778952096,0.7235417717164689,0.21576199382125938,15,30,40
V,0.5,2,6,100,0.25,0.5649481924199566,0.7695866251950931,0.2046384327751365,15,30,40
V,0.5,2,7,100,0.25,0.41333450633147517,0.6653168371441063,0.2519823308126311,15,30,40
V,0.5,2,8,100,0.25,0.5067996915574102,0.741210917679924,0.23441122612251375,15,30,40
V,0.5,2,9,100,0.25,0.5537304514583893,0.6294227481860485,0.0756922967276592,15,30,40
V,0.5,2,10,100,0.25,0.6075837280220321,0.7420918866818098,0.13450815865977772,15,30,40
