structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,n_improvements,n_stalls,N,n_agents,T
V,0.1,2,30,0.5056768913313613,0.7048882088637387,0.7048882088637387,0.19921131753237742,4,5,35,15,30,40
V,0.1,2,31,0.5085967096636668,0.731541429739209,0.731541429739209,0.22294472007554222,5,5,35,15,30,40
V,0.1,2,32,0.5251050405976863,0.7180222987847205,0.7180222987847205,0.1929172581870342,3,4,36,15,30,40
V,0.1,2,33,0.5150003890217069,0.7158261996617211,0.7158261996617211,0.20082581064001426,3,4,36,15,30,40
V,0.1,2,34,0.4366503045084495,0.7107352241362784,0.7107352241362784,0.27408491962782894,4,5,35,15,30,40
V,0.1,2,35,0.47127738705297234,0.7377031565957025,0.7377031565957025,0.2664257695427302,4,4,36,15,30,40
V,0.1,2,36,0.4760912791838993,0.6540475497750097,0.6540475497750097,0.17795627059111035,6,7,33,15,30,40
V,0.1,2,37,0.43128448224690247,0.6918099527588816,0.6918099527588816,0.2605254705119791,5,5,35,15,30,40
V,0.1,2,38,0.526929106851391,0.6784940650981414,0.6784940650981414,0.15156495824675031,4,4,36,15,30,40
V,0.1,2,39,0.4317713894812719,0.7037107333437361,0.7037107333437361,0.2719393438624642,6,6,34,15,30,40
V,0.1,2,40,0.4468543792073578,0.6585357794476031,0.6585357794476031,0.2116814002402453,6,7,33,15,30,40
V,0.1,5,1,0.45584579462573,0.7768092704460419,0.7768092704460419,0.32096347582031187,5,5,35,15,30,40
V,0.1,5,2,0.5089038752502444,0.7574634266559922,0.7574634266559922,0.24855955140574781,3,3,37,15,30,40
V,0.1,5,3,0.39290687678526354,0.6979745055365009,0.6979745055365009,0.30506762875123733,5,5,35,15,30,40
V,0.1,5,4,0.49267887991724213,0.6940107177354725,0.6940107177354725,0.20133183781823039,6,6,34,15,30,40
V,0.1,5,5,0.5472711588117402,0.7076331446751927,0.7076331446751927,0.16036198586345252,2,2,38,15,30,40
V,0.1,5,6,0.4899889816279512,0.7151957643987733,0.7151957643987733,0.22520678277082212,4,4,36,15,30,40
V,0.1,5,7,0.6136894224548854,0.7325261977116199,0.7325261977116199,0.11883677525673442,2,3,37,15,30,40
V,0.1,5,8,0.45493744648996653,0.6270054421324319,0.6270054421324319,0.1720679956424654,2,2,38,15,30,40
V,0.1,5,9,0.4379312828296539,0.701106328488989,0.701106328488989,0.26317504565933514,3,3,37,15,30,40
V,0.1,5,10,0.4604218031010434,0.7502244411150525,0.7502244411150525,0.2898026380140091,5,5,35,15,30,40
V,0.1,5,11,0.5346851746172974,0.7300987843117898,0.7300987843117898,0.1954136096944924,3,3,37,15,30,40
V,0.1,5,12,0.31174550021395636,0.7072939779156734,0.7072939779156734,0.395548477701717,4,7,33,15,30,40
V,0.1,5,13,0.5656677710054361,0.6707471057369201,0.6707471057369201,0.10507933473148401,2,2,38,15,30,40
V,0.1,5,14,0.5526852635060276,0.6957561959662557,0.6957561959662557,0.14307093246022806,3,3,37,15,30,40
V,0.1,5,15,0.4146607978424803,0.654048975459489,0.654048975459489,0.23938817761700876,4,4,36,15,30,40
V,0.1,5,16,0.4648564860265686,0.7545160566072053,0.7545160566072053,0.28965957058063674,5,7,33,15,30,40
V,0.1,5,17,0.48868774758613315,0.7251183515468593,0.7251183515468593,0.23643060396072618,3,3,37,15,30,40
V,0.1,5,18,0.5176199270328523,0.7307641649615808,0.7307641649615808,0.2131442379287285,4,4,36,15,30,40
V,0.1,5,19,0.44065217639876486,0.7888827034432299,0.7888827034432299,0.348230527044465,3,3,37,15,30,40
V,0.1,5,20,0.42281677975899196,0.6963907751044698,0.6963907751044698,0.2735739953454778,3,3,37,15,30,40
V,0.1,5,21,0.5347504906997335,0.7147312707270248,0.7147312707270248,0.17998078002729134,4,4,36,15,30,40
V,0.1,5,22,0.41815422883239955,0.6478511275332015,0.6478511275332015,0.22969689870080195,3,3,37,15,30,40
V,0.1,5,23,0.4827858221895588,0.7217761743368075,0.7217761743368075,0.23899035214724873,3,3,37,15,30,40
V,0.1,5,24,0.4928695821044665,0.6855226067435172,0.6855226067435172,0.19265302463905065,4,4,36,15,30,40
V,0.1,5,25,0.4770762124556423,0.7253727378191811,0.7253727378191811,0.2482965253635388,3,3,37,15,30,40
V,0.1,5,26,0.52855674573842,0.7199999199451999,0.7199999199451999,0.1914431742067798,3,3,37,15,30,40
V,0.1,5,27,0.5329233917063827,0.757006625930342,0.757006625930342,0.22408323422395926,6,6,34,15,30,40
