symbol,year,net_income,total_assets,ROA,employees,market_cap,sector_yf,founded,sector_gics,cik
APD,2022,2256100000.0,27192600000.0,0.08296742496120268,21087.0,65634533376,Basic Materials,1940,Materials,0000002969
APD,2021,,,,21087.0,65634533376,Basic Materials,1940,Materials,0000002969
ABNB,2025,2511000000.0,22208000000.0,0.11306736311239193,8200.0,85520662528,Consumer Cyclical,2008,Consumer Discretionary,0001559720
ABNB,2024,2648000000.0,20959000000.0,0.12634190562526837,8200.0,85520662528,Consumer Cyclical,2008,Consumer Discretionary,0001559720
ABNB,2023,4792000000.0,20645000000.0,0.2321143133930734,8200.0,85520662528,Consumer Cyclical,2008,Consumer Discretionary,0001559720
ABNB,2022,1893000000.0,16038000000.0,0.11803217358772915,8200.0,85520662528,Consumer Cyclical,2008,Consumer Discretionary,0001559720
ABNB,2021,,,,8200.0,85520662528,Consumer Cyclical,2008,Consumer Discretionary,0001559720
AKAM,2025,452031000.0,11479643000.0,0.039376747168879726,11000.0,14439635968,Technology,1998,Information Technology,0001086222
AKAM,2024,504918000.0,10368785000.0,0.04869596582434683,11000.0,14439635968,Technology,1998,Information Technology,0001086222
AKAM,2023,547629000.0,9900037000.0,0.05531585387004109,11000.0,14439635968,Technology,1998,Information Technology,0001086222
AKAM,2022,523672000.0,8303400000.0,0.06306717730086471,11000.0,14439635968,Technology,1998,Information Technology,0001086222
ALB,2025,-510628000.0,16374211000.0,-0.031184891901050987,7800.0,23391115264,Basic Materials,1994,Materials,0000915913
ALB,2024,-1179449000.0,16609649000.0,-0.07100986902251817,7800.0,23391115264,Basic Materials,1994,Materials,0000915913
ALB,2023,1573476000.0,18270652000.0,0.08612040774461689,7800.0,23391115264,Basic Materials,1994,Materials,0000915913
ALB,2022,2689816000.0,15456522000.0,0.17402466091660207,7800.0,23391115264,Basic Materials,1994,Materials,0000915913
ALB,2021,,,,7800.0,23391115264,Basic Materials,1994,Materials,0000915913
ARE,2025,-1429570000.0,34081835000.0,-0.04194521803183426,514.0,8285490688,Real Estate,1994,Real Estate,0001035443
ARE,2024,322949000.0,37527449000.0,0.008605674209296773,514.0,8285490688,Real Estate,1994,Real Estate,0001035443
ARE,2023,103639000.0,36771402000.0,0.0028184674601202317,514.0,8285490688,Real Estate,1994,Real Estate,0001035443
ARE,2022,521660000.0,35523399000.0,0.014684968631520875,514.0,8285490688,Real Estate,1994,Real Estate,0001035443
ARE,2021,,,,514.0,8285490688,Real Estate,1994,Real Estate,0001035443
ALGN,2025,410351000.0,6233693000.0,0.0658279129241687,20290.0,13979691008,Healthcare,1997,Health Care,0001097149
ALGN,2024,421362000.0,6214600000.0,0.06780195024619444,20290.0,13979691008,Healthcare,1997,Health Care,0001097149
ALGN,2023,445053000.0,6083877000.0,0.07315285959923253,20290.0,13979691008,Healthcare,1997,Health Care,0001097149
ALGN,2022,361573000.0,5947947000.0,0.060789546376253854,20290.0,13979691008,Healthcare,1997,Health Care,0001097149
ALGN,2021,,,,20290.0,13979691008,Healthcare,1997,Health Care,0001097149
ALLE,2025,643800000.0,5223700000.0,0.1232459750751383,13300.0,12359292928,Industrials,1908,Industrials,0001579241
ALLE,2024,597500000.0,4487800000.0,0.13313873167253443,13300.0,12359292928,Industrials,1908,Industrials,0001579241
ALLE,2023,540400000.0,4311500000.0,0.12533920909196336,13300.0,12359292928,Industrials,1908,Industrials,0001579241
ALLE,2022,458000000.0,3991200000.0,0.11475245540188414,13300.0,12359292928,Industrials,1908,Industrials,0001579241
ALLE,2021,,,,13300.0,12359292928,Industrials,1908,Industrials,0001579241
LNT,2025,810000000.0,24991000000.0,0.0324116682005522,2948.0,18373787648,Utilities,1917,Utilities,0000352541
LNT,2024,690000000.0,22714000000.0,0.030377740600510697,2948.0,18373787648,Utilities,1917,Utilities,0000352541
LNT,2023,703000000.0,21237000000.0,0.0331026039459434,2948.0,18373787648,Utilities,1917,Utilities,0000352541
LNT,2022,686000000.0,20163000000.0,0.034022714873778705,2948.0,18373787648,Utilities,1917,Utilities,0000352541
LNT,2021,,,,2948.0,18373787648,Utilities,1917,Utilities,0000352541
ALL,2025,10282000000.0,119758000000.0,0.08585647722907865,53000.0,56147984384,Financial Services,1931,Financials,0000899051
ALL,2024,4667000000.0,111617000000.0,0.04181262710877375,53000.0,56147984384,Financial Services,1931,Financials,0000899051
ALL,2023,-188000000.0,103362000000.0,-0.001818850254445541,53000.0,56147984384,Financial Services,1931,Financials,0000899051
ALL,2022,-1289000000.0,97989000000.0,-0.01315453775423772,53000.0,56147984384,Financial Services,1931,Financials,0000899051
ALL,2021,,,,53000.0,56147984384,Financial Services,1931,Financials,0000899051
GOOGL,2025,132170000000.0,595281000000.0,0.22202959610671263,190820.0,4019712425984,Communication Services,1998,Communication Services,0001652044
GOOGL,2024,100118000000.0,450256000000.0,0.22235794747876764,190820.0,4019712425984,Communication Services,1998,Communication Services,0001652044
GOOGL,2023,73795000000.0,402392000000.0,0.18339082287918249,190820.0,4019712425984,Communication Services,1998,Communication Services,0001652044
GOOGL,2022,59972000000.0,365264000000.0,0.16418809409084936,190820.0,4019712425984,Communication Services,1998,Communication Services,0001652044
GOOGL,2021,,,,190820.0,4019712425984,Communication Services,1998,Communication Services,0001652044
GOOG,2025,132170000000.0,595281000000.0,0.22202959610671263,190820.0,3997695737856,Communication Services,1998,Communication Services,0001652044
GOOG,2024,100118000000.0,450256000000.0,0.22235794747876764,190820.0,3997695737856,Communication Services,1998,Communication Services,0001652044
GOOG,2023,73795000000.0,402392000000.0,0.18339082287918249,190820.0,3997695737856,Communication Services,1998,Communication Services,0001652044
GOOG,2022,59972000000.0,365264000000.0,0.16418809409084936,190820.0,3997695737856,Communication Services,1998,Communication Services,0001652044
GOOG,2021,,,,190820.0,3997695737856,Communication Services,1998,Communication Services,0001652044
MO,2025,6947000000.0,35017000000.0,0.19838935374246794,5900.0,108088213504,Consumer Defensive,1985,Consumer Staples,0000764180
MO,2024,11264000000.0,35177000000.0,0.3202092276203201,5900.0,108088213504,Consumer Defensive,1985,Consumer Staples,0000764180
MO,2023,8130000000.0,38570000000.0,0.2107855846512834,5900.0,108088213504,Consumer Defensive,1985,Consumer Staples,0000764180
MO,2022,5764000000.0,36954000000.0,0.1559777020079017,5900.0,108088213504,Consumer Defensive,1985,Consumer Staples,0000764180
MO,2021,,,,5900.0,108088213504,Consumer Defensive,1985,Consumer Staples,0000764180
AMZN,2025,77670000000.0,818042000000.0,0.09494622525493801,1576000.0,2687595184128,Consumer Cyclical,1994,Consumer Discretionary,0001018724
AMZN,2024,59248000000.0,624894000000.0,0.09481288026449286,1576000.0,2687595184128,Consumer Cyclical,1994,Consumer Discretionary,0001018724
AMZN,2023,30425000000.0,527854000000.0,0.057639044129626754,1576000.0,2687595184128,Consumer Cyclical,1994,Consumer Discretionary,0001018724
AMZN,2022,-2722000000.0,462675000000.0,-0.0058831793375479545,1576000.0,2687595184128,Consumer Cyclical,1994,Consumer Discretionary,0001018724
AMCR,2025,511000000.0,37066000000.0,0.013786219176603895,77000.0,18990077952,Consumer Cyclical,2019 (1860),Materials,0001748790
AMCR,2024,730000000.0,16524000000.0,0.044178165093197774,77000.0,18990077952,Consumer Cyclical,2019 (1860),Materials,0001748790
AMCR,2023,1048000000.0,17003000000.0,0.06163618185026172,77000.0,18990077952,Consumer Cyclical,2019 (1860),Materials,0001748790
AMCR,2022,805000000.0,17426000000.0,0.046195340296109264,77000.0,18990077952,Consumer Cyclical,2019 (1860),Materials,0001748790
AMCR,2021,,,,77000.0,18990077952,Consumer Cyclical,2019 (1860),Materials,0001748790
AEE,2025,1456000000.0,48476000000.0,0.030035481475369254,8913.0,30420787200,Utilities,1902,Utilities,0001002910
AEE,2024,1182000000.0,44598000000.0,0.02650343064711422,8913.0,30420787200,Utilities,1902,Utilities,0001002910
AEE,2023,1152000000.0,40830000000.0,0.028214548126377664,8913.0,30420787200,Utilities,1902,Utilities,0001002910
AEE,2022,1074000000.0,37904000000.0,0.028334740396791895,8913.0,30420787200,Utilities,1902,Utilities,0001002910
AEE,2021,,,,8913.0,30420787200,Utilities,1902,Utilities,0001002910
AEP,2025,3580000000.0,114460000000.0,0.03127730211427573,17581.0,71690584064,Utilities,1906,Utilities,0000004904
AEP,2024,2967000000.0,103078000000.0,0.02878402762956208,17581.0,71690584064,Utilities,1906,Utilities,0000004904
AEP,2023,2208000000.0,96684000000.0,0.02283728434901328,17581.0,71690584064,Utilities,1906,Utilities,0000004904
AEP,2022,2307200000.0,93403300000.0,0.024701482709925667,17581.0,71690584064,Utilities,1906,Utilities,0000004904
AEP,2021,,,,17581.0,71690584064,Utilities,1906,Utilities,0000004904
AXP,2025,10833000000.0,300052000000.0,0.0361037420180502,76800.0,226438447104,Financial Services,1850,Financials,0000004962
AXP,2024,10129000000.0,271461000000.0,0.037312910510165366,76800.0,226438447104,Financial Services,1850,Financials,0000004962
AXP,2023,8374000000.0,261108000000.0,0.03207102042066884,76800.0,226438447104,Financial Services,1850,Financials,0000004962
AXP,2022,7514000000.0,228354000000.0,0.03290505092969687,76800.0,226438447104,Financial Services,1850,Financials,0000004962
AXP,2021,,,,76800.0,226438447104,Financial Services,1850,Financials,0000004962
AIG,2025,3096000000.0,161254000000.0,0.019199523732744615,22100.0,41814093824,Financial Services,1919,Financials,0000005272
AIG,2024,-1404000000.0,161322000000.0,-0.00870309071298397,22100.0,41814093824,Financial Services,1919,Financials,0000005272
AIG,2023,3643000000.0,539306000000.0,0.006754977693554308,22100.0,41814093824,Financial Services,1919,Financials,0000005272
AIG,2022,10227000000.0,522228000000.0,0.019583400353868425,22100.0,41814093824,Financial Services,1919,Financials,0000005272
AIG,2021,,,,22100.0,41814093824,Financial Services,1919,Financials,0000005272
AMT,2025,2529500000.0,63190400000.0,0.04002981465539069,4866.0,81502830592,Real Estate,1995,Real Estate,0001053507
AMT,2024,2255000000.0,61077400000.0,0.036920366616784606,4866.0,81502830592,Real Estate,1995,Real Estate,0001053507
AMT,2023,1483300000.0,66027600000.0,0.022464848033246703,4866.0,81502830592,Real Estate,1995,Real Estate,0001053507
AMT,2022,1765800000.0,67194500000.0,0.026278936520102093,4866.0,81502830592,Real Estate,1995,Real Estate,0001053507
AMT,2021,,,,4866.0,81502830592,Real Estate,1995,Real Estate,0001053507
AWK,2025,1111000000.0,35442000000.0,0.03134698944754811,7000.0,25786738688,Utilities,1886,Utilities,0001410636
AWK,2024,1051000000.0,32830000000.0,0.03201340237587572,7000.0,25786738688,Utilities,1886,Utilities,0001410636
AWK,2023,944000000.0,30298000000.0,0.031157172090567033,7000.0,25786738688,Utilities,1886,Utilities,0001410636
AWK,2022,820000000.0,27787000000.0,0.029510202612732572,7000.0,25786738688,Utilities,1886,Utilities,0001410636
AWK,2021,,,,7000.0,25786738688,Utilities,1886,Utilities,0001410636
AMP,2025,3563000000.0,190904000000.0,0.01866383103549428,13600.0,42836963328,Financial Services,1894,Financials,0000820027
AMP,2024,3401000000.0,181403000000.0,0.018748311769926626,13600.0,42836963328,Financial Services,1894,Financials,0000820027
AMP,2023,2556000000.0,175191000000.0,0.014589790571433465,13600.0,42836963328,Financial Services,1894,Financials,0000820027
AMP,2022,3149000000.0,158852000000.0,0.01982348349406995,13600.0,42836963328,Financial Services,1894,Financials,0000820027
AMP,2021,,,,13600.0,42836963328,Financial Services,1894,Financials,0000820027
AME,2025,1480142000.0,16067543000.0,0.09211999619356862,22500.0,53495939072,Industrials,1930,Industrials,0001037868
AME,2024,1376124000.0,14631169000.0,0.09405427549910741,22500.0,53495939072,Industrials,1930,Industrials,0001037868
AME,2023,1313188000.0,15023533000.0,0.0874087340174911,22500.0,53495939072,Industrials,1930,Industrials,0001037868
AME,2022,1159542000.0,12431120000.0,0.09327735553996744,22500.0,53495939072,Industrials,1930,Industrials,0001037868
AMGN,2025,7711000000.0,90586000000.0,0.0851235290221447,31500.0,185902858240,Healthcare,1980,Health Care,0000318154
AMGN,2024,4090000000.0,91839000000.0,0.044534457038948594,31500.0,185902858240,Healthcare,1980,Health Care,0000318154
AMGN,2023,6717000000.0,97154000000.0,0.06913765773925933,31500.0,185902858240,Healthcare,1980,Health Care,0000318154
AMGN,2022,6552000000.0,65121000000.0,0.10061270557884554,31500.0,185902858240,Healthcare,1980,Health Care,0000318154
AMGN,2021,,,,31500.0,185902858240,Healthcare,1980,Health Care,0000318154
APH,2025,4270300000.0,36236900000.0,0.11784396568139106,170000.0,186787397632,Technology,1932,Information Technology,0000820313
APH,2024,2424000000.0,21440200000.0,0.11305864684098096,170000.0,186787397632,Technology,1932,Information Technology,0000820313
APH,2023,1928000000.0,16526400000.0,0.11666182592700165,170000.0,186787397632,Technology,1932,Information Technology,0000820313
APH,2022,1902300000.0,15326200000.0,0.12412078662682205,170000.0,186787397632,Technology,1932,Information Technology,0000820313
APH,2021,,,,170000.0,186787397632,Technology,1932,Information Technology,0000820313
ADI,2025,2267342000.0,47992712000.0,0.047243464799405374,24500.0,183208361984,Technology,1965,Information Technology,0000006281
ADI,2024,1635273000.0,48228277000.0,0.03390693389274512,24500.0,183208361984,Technology,1965,Information Technology,0000006281
ADI,2023,3314579000.0,48794478000.0,0.06792938741961745,24500.0,183208361984,Technology,1965,Information Technology,0000006281
ADI,2022,2748561000.0,50302350000.0,0.054640807039830146,24500.0,183208361984,Technology,1965,Information Technology,0000006281
ADI,2021,,,,24500.0,183208361984,Technology,1965,Information Technology,0000006281
AON,2025,3695000000.0,50784000000.0,0.07275913673597983,60000.0,72072093696,Financial Services,1982 (1919),Financials,0000315293
AON,2024,2654000000.0,48965000000.0,0.05420198100684162,60000.0,72072093696,Financial Services,1982 (1919),Financials,0000315293
AON,2023,2564000000.0,33959000000.0,0.07550281221472953,60000.0,72072093696,Financial Services,1982 (1919),Financials,0000315293
AON,2022,2589000000.0,32704000000.0,0.07916462818003914,60000.0,72072093696,Financial Services,1982 (1919),Financials,0000315293
AON,2021,,,,60000.0,72072093696,Financial Services,1982 (1919),Financials,0000315293
APA,2025,1434000000.0,17761000000.0,0.080738697145431,1791.0,13287855104,Energy,1954,Energy,0001841666
